EURO STOXX 50 Volatility Indices,,,,,,,,,
 ,VSTOXX,Sub-Index 1M,Sub-Index 2M,Sub-Index 3M,Sub-Index 6M,Sub-Index 9M,Sub-Index 12M,Sub-Index 18M,Sub-Index 24M
Date,V2TX,V6I1,V6I2,V6I3,V6I4,V6I5,V6I6,V6I7,V6I8
22.08.2000,19.9077,19.6682,20.3478,12.6801,22.6029,23.4724,23.9984,23.0248,19.1491
23.08.2000,19.6149,19.2137,20.2072,17.7834,22.6053,23.5213,24.0502,22.6008,19.1799
24.08.2000,19.8195,19.5152,20.1927,18.1179,22.8003,23.6635,24.2905,22.3564,19.1976
25.08.2000,19.2467,18.7041,19.7952,17.5720,22.1600,23.2820,23.9528,22.6214,19.2533
28.08.2000,19.7272,19.3523,19.9587,17.5809,22.0384,23.2283,23.5063,22.1768,19.1486
29.08.2000,19.8354,19.4605,20.0325,17.7022,22.3036,23.6078,23.5746,22.6974,19.1303
30.08.2000,20.1445,21.2020,19.6463,18.1878,22.3700,23.4471,24.0083,23.1648,19.0915
31.08.2000,19.6192,19.4590,19.6806,17.6153,22.2242,23.4377,23.5623,22.9415,18.9389
01.09.2000,19.1432,18.5528,19.3322,16.4299,21.7718,22.7090,23.0097,22.4698,18.7158
04.09.2000,19.6080,20.2724,19.4772,14.6138,21.3898,22.6556,23.0873,22.1622,18.5642
05.09.2000,20.5245,21.3452,20.3907,17.6962,22.2165,22.9505,23.8649,22.7728,18.9744
06.09.2000,20.6624,21.8050,20.5092,18.0875,22.4232,23.1797,23.8776,22.8510,19.9124
07.09.2000,19.9145,20.2496,19.8792,17.4180,22.2175,23.0392,22.7543,22.9050,19.9185
08.09.2000,20.4529,21.0242,20.4052,18.4202,22.5096,23.0391,23.5018,22.7912,19.8285
11.09.2000,20.1723,22.0412,20.1086,18.3398,22.1931,22.9967,23.2947,22.8671,19.8594
12.09.2000,20.0698,21.9636,20.0283,18.3912,22.2200,22.9239,23.2773,22.8564,19.8722
13.09.2000,20.5915,24.9155,20.5362,19.0736,22.7484,23.1727,23.5684,23.1902,19.9082
